provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI,1218150902895205,MULYADI ANGGONO,"SERDANG BEDAGAI, 09-02-1989",PEREMPUAN,A,JL RAYA KALIMALANG PURI SENTRA NIAGA BL A/19,011/017,BAKARAN BATU,SEI BAMBAN,BUDDHA,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,SERDANG BEDAGAI,30-11-2016
PROVINSI SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,1602172606002411,THIO JULIA TIMOTIUS,"JEJAWI, 26-06-2000",PEREMPUAN,B,JL JEND SUDIRMAN GED BEJ TOWER I LT 2,012/029,PEDU,JEJAWI,ISLAM,KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,OGAN KOMERING ILIR,30-04-2014
PROVINSI KALIMANTAN BARAT,KABUPATEN SEKADAU,6109050701750527,ANITA MARTA,"BELITANG HILIR, 07-01-1975",PEREMPUAN,B,JL MERUYA ILIR RAYA 83 C,024/014,KUMPANG BIS,BELITANG HILIR,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SEKADAU,25-01-2016
PROVINSI P A P U A,KABUPATEN PUNCAK,9125082708615656,WIDHI SESANTI,"PUNCAK, 27-08-1961",PEREMPUAN,A,JL TL BETUNG 17,023/028,MISIMAGA,GOME,KRISTEN,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PUNCAK,12-03-2013
PROVINSI JAWA TIMUR,KABUPATEN MAGETAN,3520062305869289,GO SIAUW HONG,"MAGETAN, 23-05-1986",LAKI-LAKI,A,JL LETJEN HARYONO MT KAV 8 WISMA INDOMOBIL,016/002,TAWANGANOM,MAGETAN,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,MAGETAN,21-03-2018
PROVINSI SULAWESI TENGAH,KABUPATEN BANGGAI,7201150504942364,JAMES RACHMAN ADJIMIN,"BANGGAI, 05-04-1994",PEREMPUAN,O,JL P DIPONEGORO 25,030/018,MAASING,BATUI SELATAN,KATHOLIK,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BANGGAI,22-12-2016
PROVINSI JAWA TENGAH,KABUPATEN PURWOREJO,3306022208848034,DANNY NUGROHO,"PURWOREJO, 22-08-1984",LAKI-LAKI,B,JL LANGSAT I 3-PAV,026/016,WINGKOSIGROMULYO,NGOMBOL,ISLAM,BELUM KAWIN,PEDAGANG,WNI,SEUMUR HIDUP,PURWOREJO,27-12-2015
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI BARAT,5315102105601613,PEK TENG BENG,"MBELILING, 21-05-1960",LAKI-LAKI,O,JL TAMBAK 2 GED BHARA SASANA KARYA INKOPPOL,002/027,GOLO NDOAL,MBELILING,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MANGGARAI BARAT,05-06-2015
PROVINSI ACEH,KABUPATEN SIMEULUE,1109040902975712,TJIOE HAUW TZE,"SIMEULUE, 09-02-1997",LAKI-LAKI,A,JL H SOLEH 40,009/003,PULAU SIUMAT,SIMEULUE TIMUR,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SIMEULUE,02-12-2019
PROVINSI KALIMANTAN TENGAH,KABUPATEN BARITO UTARA,6205010811983810,ENNY SOEGIARTO,"BARITO UTARA, 08-11-1998",LAKI-LAKI,B,KOMPL TAMAN ARIES BL H-3,020/012,MONTALLAT I,MONTALLAT,ISLAM,KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,BARITO UTARA,15-08-2014
PROVINSI PAPUA BARAT,KABUPATEN MAYBRAT,9210190106842658,WAHJUDIN JUDIANA ARDIWINATA,"MAYBRAT, 01-06-1984",LAKI-LAKI,A,JL TJ DUREN BRT V 2,022/028,KONA,AYAMARU UTARA TIMUR,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MAYBRAT,20-07-2016
PROVINSI JAWA BARAT,KABUPATEN TASIKMALAYA,3206070309654732,SUSAN LO,"TASIKMALAYA, 03-09-1965",LAKI-LAKI,A,JL LETJEN SUPRAPTO BL M/78,021/009,BURUJULJAYA,PARUNGPONTENG,KRISTEN,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,TASIKMALAYA,07-07-2018
PROVINSI BENGKULU,KABUPATEN LEBONG,1707080806619937,CLARENCE LEONARD STRATTON,"LEBONG, 08-06-1961",LAKI-LAKI,O,JL BEKASI RAYA KM 25 GED SRIKANDI,011/021,LEMEU PIT,LEBONG SAKTI,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,LEBONG,24-06-2015
PROVINSI SULAWESI SELATAN,KABUPATEN BONE,7308081406972763,YOYOK SOEBAGIO,"SIBULUE, 14-06-1997",LAKI-LAKI,B,JL GERAJA SHIP HOUSE VILLA BINTARO INDAH,013/024,MASSENRENG PULU,SIBULUE,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,BONE,10-01-2017
PROVINSI SULAWESI SELATAN,KABUPATEN GOWA,7306150202640357,SOLIHIN YUSUF KALLA,"BONTOLEMPANGANG, 02-02-1964",LAKI-LAKI,O,JL PROF DR SUPOMO SH BL A/5-A,007/016,PARANGLOMPOA,BONTOLEMPANGANG,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,GOWA,11-09-2010
PROVINSI JAWA TENGAH,KABUPATEN PATI,3318131608960435,SOEMADIPRADJA TAHER,"PATI, 16-08-1996",PEREMPUAN,AB,JL JEND SUDIRMAN GED BEJ TOWER,009/002,PLUKARAN,GEMBONG,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PATI,29-04-2015
PROVINSI JAWA TIMUR,KABUPATEN PAMEKASAN,3528132603690175,YOGIE SANDI YUDHIANTO,"PAMEKASAN, 26-03-1969",PEREMPUAN,B,JL PD BAMBU ASRI UTR I,018/020,DEMPO TIMUR,PASEAN,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PAMEKASAN,26-06-2014
PROVINSI LAMPUNG,KABUPATEN MESUJI,1811032805703704,ABDUL RIFAI NATANEGARA,"MESUJI, 28-05-1970",PEREMPUAN,A,PALEM LESTARI BLOK A,023/008,SIDANG ISO MUKTI,RAWA JITU UTARA,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MESUJI,05-04-2019
PROVINSI KALIMANTAN TIMUR,KOTA BONTANG,6474011103778526,ACHIRSYAH MOEIS,"BONTANG UTARA, 11-03-1977",PEREMPUAN,O,JL LETJEN HARYONO MT KAV 8,003/018,BONTANG BARU,BONTANG UTARA,KRISTEN,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KOTA BONTANG,25-07-2020
PROVINSI JAWA BARAT,KABUPATEN BANDUNG BARAT,3217043007033840,GARIBALDI THOHIR,"CIKALONGWETAN, 30-07-2003",PEREMPUAN,A,CITRA I BLOK C NO 4,028/022,CIKALONG,CIKALONGWETAN,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BANDUNG BARAT,29-03-2011
PROVINSI KALIMANTAN BARAT,KABUPATEN SINTANG,6105190607599902,CHRISTIAN PARLAUNGAN MULYANTO,"SINTANG, 06-07-1959",PEREMPUAN,B,JL PASAR KECAPI 31-58,024/024,SUNGAI LAIS,KELAM PERMAI,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SINTANG,19-10-2019
PROVINSI JAWA TENGAH,KABUPATEN PATI,3318101105887058,RASYID ARWIN,"PATI, 11-05-1988",PEREMPUAN,A,JL PROF DR SOEPOMO SH 44 GED HONDA,014/003,SARIREJO,PATI,BUDDHA,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PATI,13-10-2015
PROVINSI SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN,7405022102653164,IE KIAN TJOAN,"KONAWE SELATAN, 21-02-1965",PEREMPUAN,O,JL JATIMAKMUR RAYA 8,029/005,KASEBO,ANGATA,ISLAM,CERAI HIDUP,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KONAWE SELATAN,10-04-2016
PROVINSI PAPUA BARAT,KABUPATEN MANOKWARI,9202052502018933,JOESRIL HAINIM,"MASNI, 25-02-2001",LAKI-LAKI,O,JL JEND GATOT SUBROTO KAV 32-34 PATRA,007/027,MOUBJA,MASNI,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MANOKWARI,25-06-2020
PROVINSI JAWA TIMUR,KABUPATEN TUBAN,3523121402999980,RATNA INDIRA,"TUBAN, 14-02-1999",PEREMPUAN,A,JLN LENGKENG 2/6 BEKASI BARAT,001/015,SUWALAN,JENU,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TUBAN,09-06-2013
PROVINSI JAWA TENGAH,KOTA SEMARANG,3374021803645312,TEDDY FADIL,"SEMARANG, 18-03-1964",LAKI-LAKI,O,JL KAJI 22 E,006/026,BANDARHARJO,SEMARANG UTARA,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,KOTA SEMARANG,16-10-2018
PROVINSI KALIMANTAN UTARA,KABUPATEN NUNUKAN,6503021302036986,HENRY KURLI AND LIN KONGGUI,"NUNUKAN, 13-02-2003",LAKI-LAKI,B,JL CIPINANG MUARA RAYA 47,003/015,NUNUKAN BARAT,NUNUKAN,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,NUNUKAN,27-03-2018
PROVINSI SULAWESI TENGAH,KABUPATEN TOJO UNA UNA,7209050201861164,HADI SUGINAWAN,"AMPANA KOTA, 02-01-1986",PEREMPUAN,O,JL PETOJO MELINTANG 13,017/009,MALOTONG,AMPANA KOTA,KRISTEN,CERAI HIDUP,GURU,WNI,SEUMUR HIDUP,TOJO UNA UNA,03-08-2015
PROVINSI JAWA BARAT,KABUPATEN SUBANG,3213172904974366,GANDHI BEND,"SUBANG, 29-04-1997",PEREMPUAN,O,JL SIAGA II C 21,004/019,PADAASIH,CIBOGO,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SUBANG,29-09-2018
PROVINSI ACEH,KABUPATEN SIMEULUE,1109062803920242,KURNIAWAN NURDIN KARIM,"SIMEULUE BARAT, 28-03-1992",PEREMPUAN,B,JL PERSATUAN GURU NO 20,014/004,LAYABAUNG,SIMEULUE BARAT,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SIMEULUE,31-01-2016
PROVINSI SULAWESI TENGGARA,KABUPATEN KOLAKA,7401181907969729,YOHANES EKA PUTRANTO,"TANGGETADA, 19-07-1996",LAKI-LAKI,O,JL ANYAR PERMAI BLK D21,008/006,TINGGO,TANGGETADA,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,KOLAKA,19-05-2012
PROVINSI SULAWESI TENGAH,KABUPATEN BANGGAI,7201101009862193,DR. PUDJI WITOMO,"MASAMA, 10-09-1986",PEREMPUAN,AB,JL PROF DR SOEPOMO SH 44,008/012,SIMPANGAN,MASAMA,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,BANGGAI,05-07-2020
PROVINSI JAWA TENGAH,KABUPATEN PURWOREJO,3306070809737619,LINA GUNAWAN,"PURWOREJO, 08-09-1973",LAKI-LAKI,O,JL SUNTER KEMAYORAN RAYA,004/009,SOKOWATEN,BANYUURIP,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,PURWOREJO,02-08-2017
PROVINSI JAWA TENGAH,KABUPATEN TEMANGGUNG,3323151902898684,HINDARTO SUHARDJO,"SELOPAMPANG, 19-02-1989",LAKI-LAKI,O,JL KAPT P TENDEAN 8,019/016,KEBONAGUNG,SELOPAMPANG,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,TEMANGGUNG,11-08-2013
PROVINSI MALUKU,KABUPATEN MALUKU TENGAH,8101222504620383,KIYOMI SATO,"LEIHITU BARAT, 25-04-1962",LAKI-LAKI,O,JL SUMUR BATU IV,028/004,HATU,LEIHITU BARAT,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MALUKU TENGAH,09-12-2020
PROVINSI ACEH,KABUPATEN ACEH BARAT,1105102910587175,HABIB HUSYEN ALAIDRUS,"WOYLA BARAT, 29-10-1958",LAKI-LAKI,A,JL JEND GATOT SUBROTO KAV 72 WISMA ALDIRON DIRGANTARA,014/009,LHOK MALEE,WOYLA BARAT,ISLAM,CERAI HIDUP,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH BARAT,27-06-2012
PROVINSI KALIMANTAN BARAT,KABUPATEN LANDAK,6108011102758789,SALIM PODIONO,"LANDAK, 11-02-1975",PEREMPUAN,A,JL RADEN SALEH 44 WISMA TUGU RADEN SALEH,018/022,ENGKADU,NGABANG,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,LANDAK,09-10-2011
PROVINSI SUMATERA UTARA,KABUPATEN DELI SERDANG,1207272710944022,AHADIAT WARGANA,"BATANG KUIS, 27-10-1994",LAKI-LAKI,B,JL JEND SUDIRMAN 28 WISMA GKBI,025/022,SUGIHARJO,BATANG KUIS,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,DELI SERDANG,20-10-2017
PROVINSI P A P U A,KABUPATEN ASMAT,9118100607868833,PEK TENG BENG,"ASMAT, 06-07-1986",LAKI-LAKI,B,JL MERUYA ILIR RAYA 83 C-D,018/014,WERER,UNIR SIRAU,ISLAM,CERAI MATI,TUKANG KAYU,WNI,SEUMUR HIDUP,ASMAT,25-10-2010
PROVINSI KALIMANTAN BARAT,KABUPATEN MELAWI,6110051209644666,BADURAMAN DORPI PARLINDUNGAN,"SAYAN, 12-09-1964",PEREMPUAN,O,JL KELAPA HYBRIDA VI KOMPL KELAPA GADING PERMAI BL RB-XIII/2,006/009,LINGKAR INDAH,SAYAN,ISLAM,BELUM KAWIN,PEDAGANG,WNI,SEUMUR HIDUP,MELAWI,11-11-2012
PROVINSI JAWA BARAT,KABUPATEN SUKABUMI,3202111011825815,BENJAMIN SUBRATA,"CIBADAK, 10-11-1982",LAKI-LAKI,A,PULAU PRAMUKA,008/003,SUKASIRNA,CIBADAK,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SUKABUMI,09-06-2017
PROVINSI SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI,1218110611634589,TENG GOAT NIO,"SILINDA, 06-11-1963",LAKI-LAKI,B,JL PRAMUKA 54,002/013,BATU MASAGI,SILINDA,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,SERDANG BEDAGAI,16-03-2014
PROVINSI KALIMANTAN BARAT,KABUPATEN SINTANG,6105093005652220,TIMOTHY SIDDIK,"KAYAN HULU, 30-05-1965",PEREMPUAN,B,JL SIAGA RAYA 31 GED GRAHA ARSA,008/020,TANJUNG LALAU,KAYAN HULU,ISLAM,BELUM KAWIN,BURUH HARIAN LEPAS,WNI,SEUMUR HIDUP,SINTANG,11-09-2011
PROVINSI RIAU,KABUPATEN KEPULAUAN MERANTI,1410091406803541,PE SIOE KIM,"KEPULAUAN MERANTI, 14-06-1980",PEREMPUAN,O,JL LANTANA IV KOMPL HARAPAN BARU REGENCY BL D-7/5,028/011,KEDABU RAPAT,RANGSANG PESISIR,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KEPULAUAN MERANTI,21-06-2010
PROVINSI JAWA TIMUR,KABUPATEN KEDIRI,3506110501731591,MATHILDA STEPHANIE,"PAGU, 05-01-1973",LAKI-LAKI,O,JL HAYAM WURUK 6,030/012,SEMEN,PAGU,ISLAM,BELUM KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KEDIRI,20-06-2018
PROVINSI SULAWESI UTARA,KABUPATEN BOLAANG MONGONDOW,7101340611578139,NAM YONG HWA,"DUMOGA TENGGARA, 06-11-1957",PEREMPUAN,A,JL JEND SUDIRMAN GED BEJ TOWER I LT 2,010/014,TAPADAKA SATU,DUMOGA TENGGARA,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BOLAANG MONGONDOW,09-02-2019
PROVINSI DAERAH ISTIMEWA YOGYAKARTA,KABUPATEN GUNUNGKIDUL,3403092603724233,ARIS AGUNG BUDIMAN,"KARANGMOJO, 26-03-1972",PEREMPUAN,A,JL SUNTER KEMAYORAN RAYA 2-3,029/022,KELOR,KARANGMOJO,ISLAM,CERAI HIDUP,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,GUNUNGKIDUL,17-02-2014
PROVINSI JAWA TIMUR,KOTA MALANG,3573020410683302,LETTY JOHAN,"MALANG, 04-10-1968",LAKI-LAKI,B,JL ARTERI PD INDAH 60,025/027,RAMPALCELAKET,KLOJEN,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KOTA MALANG,12-11-2016
PROVINSI KALIMANTAN SELATAN,KABUPATEN TABALONG,6309022512758364,AMALUDDIN DJAMBAK,"TABALONG, 25-12-1975",PEREMPUAN,A,JL TERATAI III,025/023,MASINTAN,KELUA,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,TABALONG,16-01-2015
PROVINSI JAWA TENGAH,KABUPATEN KUDUS,3319020706038217,BAYU IRIANTO,"KUDUS, 07-06-2003",LAKI-LAKI,B,JL JEND SUDIRMAN 28 WISMA GKBI,029/002,PANJUNAN,KOTA KUDUS,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,KUDUS,05-06-2014
PROVINSI P A P U A,KABUPATEN YAHUKIMO,9113081301985654,NANCY NARSIS RUNTUWENE,"YAHUKIMO, 13-01-1998",LAKI-LAKI,O,JL LANGSAT I 3,006/017,MANGGONA,NALCA,ISLAM,CERAI MATI,PEDAGANG,WNI,SEUMUR HIDUP,YAHUKIMO,21-12-2013
PROVINSI RIAU,KABUPATEN PELALAWAN,1405112608776758,HAWANTO HARTONO,"PELALAWAN, 26-08-1977",PEREMPUAN,AB,JL TEBET DLM II H/5,006/021,KIAB JAYA,BANDAR SEI KIJANG,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PELALAWAN,30-01-2020
PROVINSI JAWA BARAT,KABUPATEN CIAMIS,3207011209777998,ONG JU CHI,"CIAMIS, 12-09-1977",LAKI-LAKI,A,JL H NAWI RAYA 46 C,014/012,IMBANAGARA RAYA,CIAMIS,KRISTEN,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,CIAMIS,25-09-2014
PROVINSI JAWA TIMUR,KABUPATEN SAMPANG,3527110110006176,EDDY SINDORO,"SOKOBANAH, 01-10-2000",PEREMPUAN,A,JERUK PURUT KEMANG,011/007,TOBAI TENGAH,SOKOBANAH,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,SAMPANG,14-09-2017
PROVINSI ACEH,KABUPATEN ACEH BARAT,1105041607778824,ANDANG BACHTIAR,"WOYLA, 16-07-1977",LAKI-LAKI,B,JL AGUNG NIAGA V BL G-5/41,030/012,GUNONG RAMBONG,WOYLA,KATHOLIK,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,ACEH BARAT,22-12-2020
PROVINSI P A P U A,KABUPATEN ASMAT,9118042009966976,SARASWATI TEDJAKUSUMO,"AKAT, 20-09-1996",PEREMPUAN,-,JERUK PURUT KEMANG,012/028,CUMNEW,AKAT,ISLAM,CERAI MATI,BURUH TANI/PERKEBUNAN,WNI,SEUMUR HIDUP,ASMAT,20-02-2018
PROVINSI P A P U A,KABUPATEN LANNY JAYA,9123372705888893,ARIFIN YOHAN,"LANNY JAYA, 27-05-1988",PEREMPUAN,B,JL ARJUNA SLT 168,028/024,GULU,MUARA,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,LANNY JAYA,18-04-2020
PROVINSI SULAWESI TENGAH,KABUPATEN BANGGAI,7201131201927618,SOETIKNO TANOKO,"BANGGAI, 12-01-1992",PEREMPUAN,A,KOMPL TAMAN ARIES BL H-3/17-D,030/001,OBO BALINGARA,NUHON,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,BANGGAI,02-12-2013
PROVINSI ACEH,KABUPATEN BIREUEN,1111052107981635,LEDRES MARIO,"PEUSANGAN, 21-07-1998",LAKI-LAKI,AB,JL PUPAN 4-A,016/016,COT KEURANJI,PEUSANGAN,KRISTEN,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,BIREUEN,26-02-2014
PROVINSI BENGKULU,KABUPATEN SELUMA,1705102906881710,IRWAN SIREGAR,"SELUMA UTARA, 29-06-1988",LAKI-LAKI,B,JL. PECENONGAN NO 09,022/026,SINAR PAGI,SELUMA UTARA,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,SELUMA,31-07-2015
PROVINSI JAWA TENGAH,KABUPATEN TEMANGGUNG,3323030407791298,LIN YU CHENG,"TEMANGGUNG, 04-07-1979",LAKI-LAKI,AB,JL RAYA PASAR MINGGU,018/011,WALITELON UTARA,TEMANGGUNG,ISLAM,KAWIN,NELAYAN/PERIKANAN,WNI,SEUMUR HIDUP,TEMANGGUNG,01-10-2018
PROVINSI KALIMANTAN SELATAN,KABUPATEN BALANGAN,6311071305991850,MOHAMMAD LENDI BASARAH,"BALANGAN, 13-05-1999",LAKI-LAKI,B,JL. HR. RASUNA SAID,005/018,TELAGA PURUN,PARINGIN SELATAN,ISLAM,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,BALANGAN,07-10-2018
PROVINSI SUMATERA UTARA,KABUPATEN TAPANULI TENGAH,1201032501814434,SITI HARTATI TJAKRA MURDAYA,"PANDAN, 25-01-1981",LAKI-LAKI,AB,JL LETJEN HARYONO MT KAV 16 WISMA MILLENIA,029/018,SIBULUAN INDAH,PANDAN,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TAPANULI TENGAH,12-05-2015
PROVINSI SUMATERA UTARA,KABUPATEN MANDAILING NATAL,1213080109846170,NILA FATINA,"MANDAILING NATAL, 01-09-1984",LAKI-LAKI,O,JL SWADAYA 18,026/020,GUNUNG TUA MS,KOTANOPAN,KRISTEN,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MANDAILING NATAL,10-04-2020
PROVINSI JAWA BARAT,KABUPATEN CIANJUR,3203041204799036,HADIDARMA KOSASIH KHO,"CILAKU, 12-04-1979",PEREMPUAN,A,JL MIMOSA VIII BL J/12,001/007,RAHONG,CILAKU,KATHOLIK,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,CIANJUR,21-05-2011
PROVINSI SULAWESI BARAT,KABUPATEN MAMUJU,7602011302646985,ERIKA DEBORA DJAUHARI,"MAMUJU, 13-02-1964",LAKI-LAKI,A,JL KELAPA HYBRIDA RAYA KOMPL KELAPA GADING PERMAI BL QK I/18,029/025,KAREMA,MAMUJU,KRISTEN,CERAI MATI,KARYAWAN BUMN,WNI,SEUMUR HIDUP,MAMUJU,24-08-2013
PROVINSI JAWA BARAT,KABUPATEN MAJALENGKA,3210192207642045,HARRY SUWIGNJO,"MAJALENGKA, 22-07-1964",PEREMPUAN,B,KOMPL TAMAN ARIES BL H-3/17-D,030/021,TARIKOLOT,PALASAH,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,MAJALENGKA,24-11-2020
PROVINSI JAWA TENGAH,KABUPATEN TEGAL,3328071707586244,FIFI INDRA,"TEGAL, 17-07-1958",LAKI-LAKI,AB,JL BUARAN III,028/024,CAPAR,JATINEGARA,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,TEGAL,08-12-2010
PROVINSI NUSA TENGGARA BARAT,KABUPATEN LOMBOK TENGAH,5202110407906733,SONG WEN SHYU,"LOMBOK TENGAH, 04-07-1990",PEREMPUAN,O,JL RADAR AURI 49,003/010,MONTONG AJAN,PRAYA BARAT DAYA,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,LOMBOK TENGAH,06-01-2020
PROVINSI KALIMANTAN TENGAH,KABUPATEN KAPUAS,6203040405888285,HAING TJE,"KAPUAS KUALA, 04-05-1988",PEREMPUAN,AB,JL BUNGUR 14-A,022/003,PEMATANG,KAPUAS KUALA,ISLAM,CERAI MATI,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,KAPUAS,20-08-2019
PROVINSI JAWA TENGAH,KABUPATEN PURWOREJO,3306091506947592,FORONKID GUNAWAN,"PURWOREJO, 15-06-1994",LAKI-LAKI,O,JL JATI WARINGIN I RAYA,005/013,PACOR,KUTOARJO,ISLAM,BELUM KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PURWOREJO,28-04-2012
PROVINSI JAWA TIMUR,KABUPATEN MALANG,3507270609857968,EDWARD ANG,"NGANTANG, 06-09-1985",PEREMPUAN,B,JL KELAPA DUA RAYA,023/026,TULUNGREJO,NGANTANG,ISLAM,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,MALANG,10-11-2019
PROVINSI LAMPUNG,KABUPATEN TULANG BAWANG BARAT,1812062308947501,RAYMOND LOUIS,"TULANG BAWANG BARAT, 23-08-1994",PEREMPUAN,A,JL TIRTAYASA RAYA 28,025/019,BALAM JAYA,WAY KENANGA,ISLAM,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,TULANG BAWANG BARAT,08-05-2012
PROVINSI JAWA TENGAH,KABUPATEN PEMALANG,3327091411971028,NOVIANI EKA SUSANTO,"TAMAN, 14-11-1997",LAKI-LAKI,AB,JL KALIBATA INDAH KOMPL KALIBATA INDAH BL AM/19,013/015,PENER,TAMAN,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PEMALANG,26-11-2017
PROVINSI SULAWESI BARAT,KABUPATEN MAMUJU,7602010306585509,BISMARKA KURNIAWAN,"MAMUJU, 03-06-1958",LAKI-LAKI,O,JL MANGGA DUA RAYA HOTEL DUSIT MANGGA DUA ARCADE/1,003/011,MAMUNYU,MAMUJU,ISLAM,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,MAMUJU,16-05-2015
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN ENDE,5308151710650897,OENTORO SURYA,"ENDE, 17-10-1965",PEREMPUAN,O,JL KALIBATA INDAH KOMPL KALIBATA INDAH BL AM/19,027/010,DETUKELI,DETUKELI,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,ENDE,02-02-2011
